variant,split,exact_match,injection_recall,clean_recall,normalized_edit_distance
control,sep_test,0.5565,0.9535676294959021,0.9744631131674607,0.045651998207161155
control,format_test,0.79375,0.9666620488799693,0.9973276927346655,0.019851802098609504
control,nemo_test,0.041666666666666664,0.9607989760287494,0.9886435765152268,0.03653916052412781
control,nemo_test_clean,0.9937106918238994,,0.9982128480008512,0.0017871519991488898
no_task_cond,sep_test,0.55375,0.9522358530591194,0.9599851396624738,0.05840552633293276
no_task_cond,format_test,0.805,0.977088421569803,0.9968717370298547,0.015481412844896984
no_task_cond,nemo_test,0.04009433962264151,0.9544468913759871,0.9911963262769298,0.035348688815937016
no_task_cond,nemo_test_clean,0.985062893081761,,0.9972447292352524,0.0027552707647476127
no_hard_negatives,sep_test,0.519,0.9123360782468047,0.9661875779468435,0.07559906283251647
no_hard_negatives,format_test,0.7920833333333334,0.9662259933986007,0.9958252319726766,0.021387257735365605
no_hard_negatives,nemo_test,0.03852201257861635,0.9622120872819736,0.9864644749591597,0.03631651657089598
no_hard_negatives,nemo_test_clean,0.9441823899371069,,0.9934566945875375,0.0065433054124625824
