defense_name,defense,flash_bu,flash_ua,flash_asr,pro_bu,pro_ua,pro_asr
No Defense,none,71.66666666666667,67.07407407407408,3.148148148148148,75,73.5,33.88888888888889
Prompt Sandwiching,repeat_user_prompt,70,69.68518518518518,2.407407407407407,76.66666666666667,74.53703703703704,29.88888888888889
Spotlighting,spotlighting_with_delimiting,66.66666666666667,66.03703703703704,2.462962962962963,76.66666666666667,73.55555555555556,16.96296296296296
PromptGuard2,prompt_guard_2_detector,70,50.87037037037037,2.055555555555556,76.66666666666667,57.07407407407408,25.14814814814815
PIGuard,piguard_detector,13.33333333333333,5.62962962962963,0.5,21.66666666666667,10.37037037037037,1.851851851851852
ProtectAI,transformers_pi_detector,1.666666666666667,0.5555555555555556,0,3.333333333333333,1.648148148148148,0.5185185185185185
Tool Filter,tool_filter,0,0,0,0,0,0
Progent,progent,10,22.59259259259259,0.7037037037037037,8.333333333333334,39.85185185185185,16.75925925925926
DRIFT,drift,36.66666666666666,33.87037037037037,0.9259259259259259,36.66666666666666,30.59259259259259,3.296296296296296
